Date,Plant number,Fv/Fm
2025-07-11,54,0.200102
2025-07-11,55,0.756737
2025-07-11,55,0.70144
2025-07-11,55,0.645311
2025-07-11,58,0.77696
2025-07-11,58,0.667857
2025-07-11,58,0.696745
2025-07-11,59,0.586142
2025-07-11,59,0.906664
2025-07-11,59,0.41288
2025-07-11,60,0.531728
2025-07-11,60,0.523538
2025-07-11,60,0.515057
2025-07-11,61,0.589526
2025-07-11,61,0.524344
2025-07-11,61,0.492062
2025-07-11,62,0.461749
2025-07-11,62,0.554474
2025-07-11,62,0.602265
2025-07-11,63,0.566714
2025-07-11,63,0.639183
2025-07-11,63,0.593113
2025-07-11,64,0.774855
2025-07-11,64,0.697792
2025-07-11,64,0.63509
2025-07-11,65,0.433925
2025-07-11,65,0.516682
2025-07-11,65,0.254351
2025-07-11,68,0.693267
2025-07-11,68,0.715553
2025-07-11,68,0.695483
2025-07-11,69,0.735797
2025-07-11,69,0.739632
2025-07-11,69,0.6404
2025-07-11,70,0.764364
2025-07-11,70,0.803677
2025-07-11,70,0.733089
2025-07-11,71,0.770302
2025-07-11,71,0.696036
2025-07-11,71,0.682248
2025-07-11,72,0.597161
2025-07-11,72,0.46569
2025-07-11,72,0.476067
2025-07-11,73,0.767011
2025-07-11,73,0.634447
2025-07-11,73,0.648268
2025-07-11,74,0.721237
2025-07-11,74,0.724185
2025-07-11,74,0.638518
2025-07-11,75,0.765553
2025-07-11,75,0.633147
2025-07-11,75,0.589113
2025-07-11,76,0.769014
2025-07-11,76,0.698625
2025-07-11,76,0.646109
2025-07-11,76,0.745932
2025-07-11,76,0.648997
2025-07-11,76,0.672634
2025-07-11,77,0.713875
2025-07-11,77,0.605262
2025-07-11,77,0.675314
2025-07-11,78,0.793392
2025-07-11,78,0.713166
2025-07-11,78,0.793258
2025-07-11,80,0.492883
2025-07-11,80,0.536823
2025-07-11,80,0.497158
2025-07-11,81,0.749667
2025-07-11,81,0.699136
2025-07-11,81,0.615317
2025-07-11,82,0.696684
2025-07-11,82,0.666199
2025-07-11,82,0.633462
2025-07-11,83,0.714933
2025-07-11,83,0.62304
2025-07-11,83,0.61839
2025-07-11,88,0.794098
2025-07-11,88,0.755906
2025-07-11,88,0.762795
2025-07-11,89,0.668808
2025-07-11,89,0.483102
2025-07-11,89,0.554054
2025-07-11,90,0.548685
2025-07-11,90,0.509453
2025-07-11,90,0.501621
2025-07-11,90,0.573223
2025-07-11,90,0.554334
2025-07-11,91,0.421437
2025-07-11,91,0.398918
2025-07-11,91,0.383344
2025-07-11,92,0.587877
2025-07-11,92,0.61389
2025-07-11,92,0.531366
2025-07-11,94,0.634953
2025-07-11,94,0.620927
2025-07-11,94,0.49955
2025-07-11,95,0.658088
2025-07-11,95,0.593044
2025-07-11,95,0.567982
2025-07-11,96,0.734235
2025-07-11,96,0.682741
2025-07-11,96,0.72722
2025-07-11,97,0.808444
2025-07-11,97,0.71588
2025-07-11,97,0.692028
2025-07-11,98,0.486996
2025-07-11,98,0.647031
2025-07-11,98,0.634113
2025-07-11,101,0.532348
2025-07-11,101,0.403956
2025-07-11,101,0.343399
2025-07-11,102,0.529667
2025-07-11,102,0.570888
2025-07-11,102,0.653232
2025-07-11,103,0.447717
2025-07-11,103,0.454015
2025-07-11,103,0.3603
2025-07-11,105,0.834527
2025-07-11,105,0.741783
2025-07-11,105,0.716283
2025-07-11,105,0.673716
2025-07-11,105,0.493504
2025-07-11,105,0.600082
2025-07-22,3,0.796137
2025-07-22,3,0.592109
2025-07-22,3,0.708423
2025-07-22,4,0.746247
2025-07-22,4,0.658944
2025-07-22,4,0.642494
2025-07-22,6,0.73568
2025-07-22,6,0.586822
2025-07-22,6,0.581796
2025-07-22,8,0.746663
2025-07-22,8,0.619526
2025-07-22,8,0.624843
2025-07-22,10,0.570489
2025-07-22,10,0.543249
2025-07-22,10,0.620689
2025-07-22,11,0.610416
2025-07-22,11,0.586874
2025-07-22,11,0.629606
2025-07-22,12,0.73878
2025-07-22,12,0.665008
2025-07-22,12,0.576524
2025-07-22,16,0.415987
2025-07-22,16,0.526344
2025-07-22,16,0.615275
2025-07-22,17,0.624478
2025-07-22,17,0.543603
2025-07-22,17,0.528661
2025-07-22,21,0.538833
2025-07-22,21,0.411876
2025-07-22,21,0.396022
2025-07-22,22,0.691925
2025-07-22,22,0.700862
2025-07-22,22,0.663667
2025-07-22,23,0.798763
2025-07-22,23,0.600597
2025-07-22,23,0.674258
2025-07-22,24,0.692132
2025-07-22,24,0.561016
2025-07-22,24,0.622113
2025-07-22,25,0.530306
2025-07-22,25,0.467678
2025-07-22,25,0.587196
2025-07-22,26,0.727691
2025-07-22,26,0.603374
2025-07-22,26,0.666977
2025-07-22,27,0.737524
2025-07-22,27,0.615904
2025-07-22,27,0.603223
2025-07-22,28,0.668848
2025-07-22,28,0.611351
2025-07-22,28,0.583196
2025-07-22,29,0.653934
2025-07-22,29,0.583895
2025-07-22,29,0.423852
2025-07-22,30,0.69993
2025-07-22,30,0.660159
2025-07-22,30,0.638309
2025-07-22,31,0.746108
2025-07-22,31,0.741441
2025-07-22,31,0.737397
2025-07-22,33,0.640934
2025-07-22,33,0.611142
2025-07-22,33,0.627504
2025-07-22,34,0.793103
2025-07-22,34,0.660631
2025-07-22,34,0.702228
2025-07-22,35,0.67476
2025-07-22,35,0.718204
2025-07-22,35,0.681079
2025-07-22,36,0.746499
2025-07-22,36,0.641096
2025-07-22,36,0.697281
2025-07-22,37,0.488275
2025-07-22,37,0.377411
2025-07-22,37,0.446827
2025-07-22,38,0.660462
2025-07-22,38,0.427556
2025-07-22,38,0.602957
2025-07-22,39,0.731645
2025-07-22,39,0.637464
2025-07-22,39,0.578074
2025-07-22,41,0.685867
2025-07-22,41,0.444389
2025-07-22,41,0.532514
2025-07-22,43,0.729091
2025-07-22,43,0.636316
2025-07-22,43,0.654189
2025-07-22,44,0.757547
2025-07-22,44,0.683689
2025-07-22,44,0.697624
2025-07-22,46,0.783124
2025-07-22,46,0.680125
2025-07-22,46,0.69106
2025-07-22,47,0.548976
2025-07-22,47,0.476324
2025-07-22,47,0.613592
2025-07-22,48,0.581722
2025-07-22,48,0.557183
2025-07-22,48,0.585621
2025-07-22,49,0.561095
2025-07-22,49,0.559412
2025-07-22,49,0.670766
2025-07-22,51,0.784576
2025-07-22,51,0.641979
2025-07-22,51,0.696326
2025-07-22,53,0.737019
2025-07-22,53,0.596021
2025-07-22,53,0.65177
2025-07-22,55,0.764069
2025-07-22,55,0.564535
2025-07-22,55,0.64451
2025-07-22,58,0.784251
2025-07-22,58,0.638412
2025-07-22,58,0.71347
2025-07-22,59,0.66403
2025-07-22,59,0.579071
2025-07-22,59,0.521697
2025-07-22,60,0.898283
2025-07-22,60,0.474151
2025-07-22,60,0.541163
2025-07-22,62,0.64738
2025-07-22,62,0.593571
2025-07-22,62,0.593742
2025-07-22,63,0.73723
2025-07-22,63,0.607979
2025-07-22,63,0.688437
2025-07-22,64,0.783287
2025-07-22,64,0.575263
2025-07-22,64,0.76685
2025-07-22,65,0.563858
2025-07-22,65,0.711542
2025-07-22,65,0.681868
2025-07-22,67,0.792574
2025-07-22,67,0.64379
2025-07-22,67,0.607773
2025-07-22,68,0.714486
2025-07-22,68,0.616101
2025-07-22,68,0.696234
2025-07-22,69,0.747301
2025-07-22,69,0.739579
2025-07-22,69,0.597119
2025-07-22,70,0.761343
2025-07-22,70,0.648011
2025-07-22,70,0.687924
2025-07-22,71,0.788394
2025-07-22,71,0.701118
2025-07-22,71,0.711418
2025-07-22,72,0.654714
2025-07-22,72,0.260445
2025-07-22,72,0.508289
2025-07-22,72,0.555432
2025-07-22,73,0.725503
2025-07-22,73,0.553534
2025-07-22,73,0.594654
2025-07-22,74,0.711268
2025-07-22,74,0.678157
2025-07-22,74,0.64433
2025-07-22,74,0.711356
2025-07-22,74,0.680816
2025-07-22,74,0.746742
2025-07-22,75,0.714132
2025-07-22,75,0.557041
2025-07-22,75,0.656361
2025-07-22,75,0.515625
2025-07-22,75,0.699123
2025-07-22,75,0.604692
2025-07-22,75,0.593879
2025-07-22,76,0.771918
2025-07-22,76,0.709917
2025-07-22,76,0.715177
2025-07-22,77,0.739277
2025-07-22,77,0.596485
2025-07-22,77,0.675929
2025-07-22,78,0.710808
2025-07-22,78,0.800417
2025-07-22,78,0.681075
2025-07-22,80,0.600708
2025-07-22,80,0.497659
2025-07-22,80,0.48141
2025-07-22,81,0.645436
2025-07-22,81,0.619479
2025-07-22,81,0.656643
2025-07-22,82,0.780736
2025-07-22,82,0.612001
2025-07-22,82,0.74415
2025-07-22,88,0.799318
2025-07-22,88,0.620052
2025-07-22,88,0.677907
2025-07-22,89,0.655371
2025-07-22,89,0.542949
2025-07-22,89,0.558514
2025-07-22,90,0.641462
2025-07-22,90,0.515904
2025-07-22,90,0.574414
2025-07-22,91,0.654315
2025-07-22,91,0.511341
2025-07-22,91,0.529233
2025-07-22,92,0.634234
2025-07-22,92,0.535289
2025-07-22,92,0.584936
2025-07-22,94,0.621902
2025-07-22,94,0.562535
2025-07-22,94,0.504691
2025-07-22,95,0.655852
2025-07-22,95,0.572462
2025-07-22,95,0.618968
2025-07-22,96,0.785848
2025-07-22,96,0.773522
2025-07-22,96,0.719459
2025-07-22,97,0.825473
2025-07-22,97,0.648256
2025-07-22,97,0.695005
2025-07-22,98,0.654308
2025-07-22,98,0.513417
2025-07-22,98,0.692813
2025-07-22,101,0.57102
2025-07-22,101,0.402355
2025-07-22,101,0.438058
2025-07-22,102,0.692609
2025-07-22,102,0.568534
2025-07-22,103,0.644023
2025-07-22,103,0.583716
2025-07-22,103,0.629031
2025-07-22,104,0.838473
2025-07-22,104,0.714365
2025-07-22,104,0.740246
2025-07-22,105,0.597672
2025-07-22,105,0.422474
2025-07-22,105,0.579435
